,Fine,On Fire,Burned Out,Protected
0,5432,59,0,0
1,5309,61,106,15
2,5205,39,207,40
3,5124,24,275,68
4,5087,13,316,75
5,5052,19,341,79
6,5002,31,378,80
7,4923,41,433,94
8,4865,26,495,105
9,4820,24,538,109
10,4763,24,582,122
11,4724,19,614,134
12,4693,18,641,139
13,4655,19,675,142
14,4620,14,710,147
15,4569,18,746,158
16,4551,9,768,163
17,4521,10,794,166
18,4482,14,821,174
19,4460,11,842,178
20,4439,9,858,185
21,4409,14,882,186
22,4380,13,908,190
23,4345,18,936,192
24,4309,14,964,204
25,4280,20,987,204
26,4229,22,1030,210
27,4201,13,1063,214
28,4180,14,1084,213
29,4148,15,1111,217
30,4117,16,1136,222
31,4086,14,1165,226
32,4074,7,1181,229
33,4061,7,1193,230
34,4045,11,1203,232
35,4014,15,1229,233
36,4001,8,1247,235
37,3973,15,1265,238
38,3930,16,1301,244
39,3890,17,1331,253
40,3858,16,1359,258
41,3813,21,1398,259
42,3777,17,1431,266
43,3754,7,1455,275
44,3719,15,1474,283
45,3689,13,1505,284
46,3659,15,1526,291
47,3608,25,1565,293
48,3569,17,1605,300
49,3529,21,1635,306
50,3486,19,1674,312
51,3456,12,1702,321
52,3439,7,1721,324
53,3423,7,1732,329
54,3406,11,1745,329
55,3372,18,1771,330
56,3347,15,1797,332
57,3333,8,1815,335
58,3312,14,1829,336
59,3273,24,1855,339
60,3201,36,1910,344
61,3143,28,1970,350
62,3083,35,2016,357
63,3031,25,2076,359
64,2986,20,2124,361
65,2934,25,2167,365
66,2897,20,2207,367
67,2848,29,2244,370
68,2787,31,2298,375
69,2754,10,2343,384
70,2743,6,2358,384
71,2725,8,2370,388
72,2707,10,2383,391
73,2688,5,2398,400
74,2682,1,2405,403
75,2680,0,2406,405
